tunnel_num s t prio weight
594 8 6 l 100
594 8 6 h 100
shutdown 8 7 l
1092 8 7 h 100
453 8 9 l 100
shutdown 8 9 h
948 8 10 l 100
948 8 10 h 100
1470 8 11 l 100
1470 8 11 h 100
shutdown 8 12 l
343 8 12 h 100
shutdown 8 13 l
840 8 13 h 100
shutdown 8 14 l
shutdown 8 14 h
191 8 15 l 100
186 8 15 h 100
993 8 16 l 100
991 8 16 h 100
109 9 0 l 100
110 9 0 h 100
1266 9 1 l 100
1266 9 1 h 100
750 9 2 l 100
750 9 2 h 100
240 9 3 l 100
240 9 3 h 100
468 9 4 l 100
468 9 4 h 100
1609 9 5 l 100
1609 9 5 h 100
1110 9 6 l 100
1110 9 6 h 100
shutdown 9 7 l
shutdown 9 7 h
864 9 8 l 100
864 9 8 h 100
1494 9 10 l 100
1494 9 10 h 100
967 9 11 l 100
967 9 11 h 100
1236 9 12 l 100
1236 9 12 h 100
726 9 13 l 100
726 9 13 h 100
shutdown 9 14 l
211 9 14 h 100
1387 9 15 l 100
1388 9 15 h 100
264 9 16 l 100
264 9 16 h 100
shutdown 10 0 l
986 10 0 h 100
1506 10 1 l 100
1506 10 1 h 100
1627 10 2 l 100
1627 10 2 h 100
492 10 3 l 0
493 10 3 l 99
493 10 3 h 100
636 10 4 l 100
636 10 4 h 100
1138 10 5 l 100
1134 10 5 h 100
1291 10 6 l 100
1290 10 6 h 100
shutdown 10 7 l
shutdown 10 7 h
102 10 8 l 100
102 10 8 h 100
606 10 9 l 100
606 10 9 h 100
1260 10 11 l 100
1260 10 11 h 100
shutdown 10 12 l
1405 10 12 h 100
235 10 13 l 100
235 10 13 h 100
375 10 14 l 44
376 10 14 l 55
373 10 14 h 100
883 10 15 l 100
883 10 15 h 100
1170 10 16 l 100
1170 10 16 h 100
261 11 0 l 100
259 11 0 h 100
1416 11 1 l 100
1417 11 1 h 100
1284 11 2 l 100
1284 11 2 h 100
774 11 3 l 100
774 11 3 h 100
630 11 4 l 100
630 11 4 h 100
128 11 5 l 100
126 11 5 h 100
1621 11 6 l 100
1620 11 6 h 100
1128 11 7 l 100
1128 11 7 h 100
1164 11 8 l 100
1164 11 8 h 100
661 11 9 l 100
661 11 9 h 100
516 11 10 l 100
516 11 10 h 100
1523 11 12 l 100
1519 11 12 h 100
1015 11 13 l 100
1015 11 13 h 100
895 11 14 l 100
895 11 14 h 100
387 11 15 l 100
386 11 15 h 100
415 11 16 l 100
415 11 16 h 100
1160 12 0 l 100
shutdown 12 0 h
12 12 1 l 100
12 12 1 h 100
shutdown 12 2 l
shutdown 12 2 h
1008 12 3 l 100
shutdown 12 3 h
shutdown 12 4 l
799 12 4 h 100
1308 12 5 l 100
1308 12 5 h 100
shutdown 12 6 l
shutdown 12 6 h
shutdown 12 7 l
shutdown 12 7 h
shutdown 12 8 l
409 12 8 h 100
shutdown 12 9 l
912 12 9 h 100
1435 12 10 l 100
1435 12 10 h 75
1436 12 10 h 24
283 12 11 l 95
286 12 11 l 4
283 12 11 h 100
540 12 13 l 100
540 12 13 h 100
shutdown 12 14 l
shutdown 12 14 h
1542 12 15 l 100
1542 12 15 h 100
1338 12 16 l 100
1338 12 16 h 100
404 13 0 l 100
404 13 0 h 100
1537 13 1 l 100
1536 13 1 h 100
1038 13 2 l 100
1038 13 2 h 100
534 13 3 l 100
534 13 3 h 100
41 13 4 l 100
36 13 4 h 100
1188 13 5 l 100
1188 13 5 h 100
683 13 6 l 100
679 13 6 h 100
169 13 7 l 70
172 13 7 l 29
shutdown 13 7 h
1332 13 8 l 100
1332 13 8 h 100
816 13 9 l 100
816 13 9 h 100
313 13 10 l 100
313 13 10 h 100
1441 13 11 l 100
1441 13 11 h 100
924 13 12 l 100
924 13 12 h 100
1554 13 14 l 100
1554 13 14 h 100
1057 13 15 l 100
1056 13 15 h 100
564 13 16 l 100
564 13 16 h 100
1328 14 0 l 100
1328 14 0 h 100
162 14 1 l 100
162 14 1 h 100
306 14 2 l 100
306 14 2 h 100
810 14 3 l 100
810 14 3 h 100
30 14 4 l 100
30 14 4 h 100
528 14 5 l 100
528 14 5 h 100
674 14 6 l 100
674 14 6 h 100
shutdown 14 7 l
shutdown 14 7 h
781 14 8 l 100
780 14 8 h 100
906 14 9 l 100
907 14 9 h 100
1035 14 10 l 100
1034 14 10 h 100
1534 14 11 l 100
1532 14 11 h 100
792 14 12 l 100
792 14 12 h 100
1302 14 13 l 100
1302 14 13 h 100
276 14 15 l 100
276 14 15 h 100
319 14 16 l 100
318 14 16 h 100
558 15 0 l 100
558 15 0 h 100
52 15 1 l 100
48 15 1 h 100
1553 15 2 l 100
1548 15 2 h 100
1051 15 3 l 100
1050 15 3 h 100
180 15 4 l 100
181 15 4 h 100
1351 15 5 l 100
1351 15 5 h 100
1200 15 6 l 100
1200 15 6 h 100
690 15 7 l 100
690 15 7 h 100
1219 15 8 l 100
1219 15 8 h 100
805 15 9 l 48
809 15 9 l 51
804 15 9 h 100
667 15 10 l 100
668 15 10 h 100
159 15 11 l 100
158 15 11 h 100
918 15 12 l 100
918 15 12 h 100
420 15 13 l 100
420 15 13 h 100
300 15 14 l 100
300 15 14 h 100
757 15 16 l 100
758 15 16 h 100
1585 16 0 l 100
1585 16 0 h 100
291 16 1 l 100
288 16 1 h 100
1296 16 2 l 100
1296 16 2 h 100
114 16 3 l 100
114 16 3 h 100
557 16 4 l 100
554 16 4 h 100
298 16 5 l 100
294 16 5 h 100
22 16 6 l 100
18 16 6 h 100
1422 16 7 l 100
1422 16 7 h 100
1275 16 8 l 100
1273 16 8 h 100
1002 16 9 l 100
1002 16 9 h 100
1020 16 10 l 100
1020 16 10 h 100
1477 16 11 l 100
1477 16 11 h 100
1446 16 12 l 100
1446 16 12 h 100
480 16 13 l 100
480 16 13 h 100
475 16 14 l 100
475 16 14 h 100
1601 16 15 l 100
1597 16 15 h 100
